110.4147, s, 101.9, degC
110.9306, s, 101.8, degC
111.4661, s, 101.7, degC
111.9623, s, 101.7, degC
112.4785, s, 101.7, degC
112.9941, s, 101.8, degC
113.5100, s, 101.8, degC
114.0261, s, 101.9, degC
114.5741, s, 101.9, degC
115.0900, s, 101.9, degC
115.6057, s, 101.9, degC
116.1217, s, 101.9, degC
116.6378, s, 101.9, degC
117.1638, s, 101.9, degC
117.6692, s, 101.9, degC
118.1854, s, 101.9, degC
118.7011, s, 101.9, degC
119.2170, s, 101.9, degC
119.7327, s, 101.9, degC
120.2485, s, 101.9, degC
120.7646, s, 101.9, degC
121.2805, s, 101.9, degC
121.7962, s, 101.9, degC
122.3121, s, 101.9, degC
122.8280, s, 101.9, degC
123.3439, s, 101.9, degC
123.8600, s, 101.9, degC
124.3757, s, 101.9, degC
124.8917, s, 101.9, degC
125.4076, s, 101.9, degC
125.9234, s, 101.9, degC
126.4597, s, 101.8, degC
126.9548, s, 101.8, degC
127.4712, s, 101.8, degC
127.9868, s, 101.8, degC
128.5029, s, 101.8, degC
129.0185, s, 101.8, degC
129.5346, s, 101.8, degC
130.0583, s, 101.8, degC
130.5664, s, 101.8, degC
131.0820, s, 101.8, degC
131.5980, s, 101.7, degC
132.1140, s, 101.7, degC
132.6297, s, 101.7, degC
133.1459, s, 101.7, degC
133.6614, s, 101.7, degC
134.1776, s, 101.7, degC
134.6933, s, 101.6, degC
135.2091, s, 101.6, degC
135.7255, s, 101.6, degC
136.2410, s, 101.6, degC
136.7568, s, 101.6, degC
137.2725, s, 101.6, degC
137.7884, s, 101.6, degC
138.3043, s, 101.6, degC
138.8205, s, 101.6, degC
139.3542, s, 101.6, degC
139.8522, s, 101.6, degC
140.3678, s, 101.6, degC
140.8840, s, 101.5, degC
141.3997, s, 101.5, degC
141.9154, s, 101.5, degC
142.4314, s, 101.5, degC
142.9527, s, 101.5, degC
143.4632, s, 101.5, degC
143.9791, s, 101.5, degC
144.4948, s, 101.4, degC
145.0108, s, 101.4, degC
145.5268, s, 101.4, degC
146.0425, s, 101.4, degC
146.5586, s, 101.4, degC
147.0743, s, 101.4, degC
147.5903, s, 101.4, degC
148.1062, s, 101.3, degC
148.6219, s, 101.3, degC
149.1378, s, 101.3, degC
149.6537, s, 101.3, degC
150.1696, s, 101.3, degC
150.6854, s, 101.3, degC
151.2012, s, 101.3, degC
151.7173, s, 101.3, degC
152.2490, s, 101.3, degC
152.7489, s, 101.3, degC
153.2647, s, 101.3, degC
153.7810, s, 101.3, degC
154.2966, s, 101.3, degC
154.8126, s, 101.3, degC
155.3285, s, 101.3, degC
155.8445, s, 101.3, degC
156.3602, s, 101.2, degC
156.8760, s, 101.2, degC
157.3924, s, 101.2, degC
157.9077, s, 101.2, degC
158.4236, s, 101.1, degC
158.9395, s, 101.1, degC
159.4708, s, 101.1, degC
159.9712, s, 101.1, degC
160.4871, s, 101.1, degC
161.0030, s, 101.1, degC
161.5190, s, 101.1, degC
162.0347, s, 101.1, degC
162.5507, s, 101.0, degC
163.0694, s, 101.0, degC
163.5824, s, 101.0, degC
164.0982, s, 101.0, degC
164.6141, s, 101.1, degC
165.1299, s, 101.0, degC
165.6460, s, 101.0, degC
166.1617, s, 101.0, degC
166.6776, s, 101.0, degC
167.1935, s, 101.0, degC
167.7095, s, 101.0, degC
168.2256, s, 101.0, degC
168.7411, s, 101.0, degC
169.2570, s, 101.0, degC
169.7731, s, 100.9, degC
170.2889, s, 100.9, degC
170.8047, s, 100.9, degC
171.3206, s, 100.9, degC
171.8365, s, 100.9, degC
172.3652, s, 100.9, degC
172.8682, s, 100.8, degC
173.3840, s, 100.8, degC
173.9001, s, 100.9, degC
174.4158, s, 100.9, degC
174.9318, s, 100.9, degC
175.4474, s, 100.9, degC
175.9638, s, 100.9, degC
176.4797, s, 100.9, degC
176.9952, s, 100.9, degC
177.5113, s, 100.9, degC
178.0269, s, 100.9, degC
178.5428, s, 100.9, degC
179.0589, s, 100.9, degC
179.5746, s, 100.9, degC
180.0904, s, 100.9, degC
180.6063, s, 100.9, degC
181.1223, s, 100.9, degC
181.6382, s, 100.9, degC
182.1540, s, 100.8, degC
182.6699, s, 100.8, degC
183.1859, s, 100.8, degC
183.7017, s, 100.8, degC
184.2176, s, 100.8, degC
184.7338, s, 100.8, degC
185.2602, s, 100.8, degC
185.7653, s, 100.8, degC
186.2811, s, 100.8, degC
186.7969, s, 100.8, degC
187.3127, s, 100.7, degC
187.8286, s, 100.7, degC
188.3451, s, 100.7, degC
188.8604, s, 100.7, degC
189.3761, s, 100.7, degC
189.8925, s, 100.7, degC
190.4080, s, 100.7, degC
190.9240, s, 100.7, degC
191.4397, s, 100.7, degC
191.9556, s, 100.7, degC
192.4717, s, 100.7, degC
192.9873, s, 100.7, degC
193.5035, s, 100.7, degC
194.0191, s, 100.7, degC
194.5560, s, 100.7, degC
195.0511, s, 100.6, degC
195.5674, s, 100.6, degC
196.0826, s, 100.6, degC
196.5991, s, 100.6, degC
197.1158, s, 100.6, degC
197.6303, s, 100.6, degC
198.1598, s, 100.6, degC
198.6621, s, 100.6, degC
199.1781, s, 100.6, degC
199.6939, s, 100.6, degC
200.2097, s, 100.5, degC
200.7257, s, 100.5, degC
201.2415, s, 100.5, degC
201.7578, s, 100.5, degC
202.2732, s, 100.5, degC
202.7889, s, 100.5, degC
203.3055, s, 100.5, degC
203.8208, s, 100.5, degC
204.3367, s, 100.5, degC
204.8525, s, 100.5, degC
205.3764, s, 100.5, degC
205.8844, s, 100.5, degC
206.4002, s, 100.5, degC
206.9161, s, 100.4, degC
207.4321, s, 100.4, degC
207.9480, s, 100.4, degC
208.4639, s, 100.4, degC
208.9795, s, 100.5, degC
209.4954, s, 100.5, degC
210.0114, s, 100.5, degC
210.5275, s, 100.4, degC
211.0432, s, 100.4, degC
211.5594, s, 100.4, degC
212.0747, s, 100.4, degC
212.5910, s, 100.4, degC
213.1067, s, 100.4, degC
213.6224, s, 100.4, degC
214.1383, s, 100.4, degC
214.6724, s, 100.4, degC
215.1702, s, 100.4, degC
215.7182, s, 100.3, degC
216.2350, s, 100.3, degC
216.7716, s, 100.3, degC
217.2666, s, 100.3, degC
217.7852, s, 100.3, degC
218.2975, s, 100.3, degC
218.8137, s, 100.2, degC
219.3295, s, 100.2, degC
219.8456, s, 100.3, degC
220.3701, s, 100.3, degC
220.8770, s, 100.3, degC
221.3931, s, 100.2, degC
221.9088, s, 100.2, degC
222.4246, s, 100.1, degC
222.9404, s, 100.1, degC
223.4566, s, 100.1, degC
223.9724, s, 100.1, degC
224.4882, s, 100.1, degC
225.0039, s, 100.1, degC
225.5203, s, 100.1, degC
226.0360, s, 100.1, degC
226.5517, s, 100.1, degC
227.0676, s, 100.1, degC
227.5834, s, 100.1, degC
228.0996, s, 100.1, degC
228.6152, s, 100.1, degC
229.1311, s, 100.0, degC
229.6661, s, 100.0, degC
230.1629, s, 100.0, degC
230.6788, s, 100.0, degC
231.1945, s, 100.0, degC
231.7104, s, 100.0, degC
232.2267, s, 100.0, degC
232.7423, s, 100.0, degC
233.2646, s, 100.0, degC
233.7740, s, 100.0, degC
234.2898, s, 100.0, degC
234.8058, s, 100.0, degC
235.3216, s, 100.0, degC
235.8377, s, 99.9, degC
236.3535, s, 99.9, degC
236.8694, s, 99.9, degC
237.3854, s, 99.9, degC
237.9012, s, 99.9, degC
238.4171, s, 99.9, degC
238.9329, s, 99.9, degC
239.4487, s, 99.9, degC
239.9647, s, 99.9, degC
240.4806, s, 99.9, degC
240.9963, s, 99.9, degC
241.5125, s, 99.9, degC
242.0282, s, 99.9, degC
242.5614, s, 99.9, degC
243.0600, s, 99.8, degC
243.5759, s, 99.8, degC
244.0917, s, 99.8, degC
244.6076, s, 99.8, degC
245.1233, s, 99.8, degC
245.6395, s, 99.8, degC
246.1591, s, 99.8, degC
246.6710, s, 99.7, degC
247.1868, s, 99.7, degC
247.7029, s, 99.7, degC
248.2187, s, 99.7, degC
248.7346, s, 99.7, degC
249.2506, s, 99.7, degC
249.7662, s, 99.7, degC
250.2822, s, 99.6, degC
250.7981, s, 99.6, degC
251.3141, s, 99.6, degC
251.8297, s, 99.6, degC
252.3463, s, 99.6, degC
252.8615, s, 99.6, degC
253.3774, s, 99.6, degC
253.8932, s, 99.6, degC
254.4092, s, 99.6, degC
254.9255, s, 99.6, degC
255.4410, s, 99.6, degC
255.9572, s, 99.6, degC
256.4727, s, 99.6, degC
256.9887, s, 99.6, degC
257.5045, s, 99.6, degC
258.0212, s, 99.6, degC
258.5360, s, 99.6, degC
259.0523, s, 99.5, degC
259.5681, s, 99.5, degC
260.0839, s, 99.5, degC
260.5998, s, 99.5, degC
261.1154, s, 99.5, degC
261.6315, s, 99.5, degC
262.1472, s, 99.5, degC
262.6772, s, 99.5, degC
263.1796, s, 99.5, degC
263.6951, s, 99.5, degC
264.2112, s, 99.5, degC
264.7271, s, 99.5, degC
265.2425, s, 99.5, degC
265.7589, s, 99.5, degC
266.2757, s, 99.5, degC
266.7903, s, 99.4, degC
267.3061, s, 99.4, degC
267.8220, s, 99.4, degC
268.3380, s, 99.3, degC
268.8538, s, 99.3, degC
269.3696, s, 99.4, degC
269.8854, s, 99.4, degC
270.4016, s, 99.4, degC
270.9174, s, 99.4, degC
271.4331, s, 99.4, degC
271.9489, s, 99.3, degC
272.4650, s, 99.3, degC
272.9811, s, 99.3, degC
273.4967, s, 99.2, degC
274.0125, s, 99.2, degC
274.5284, s, 99.2, degC
275.0443, s, 99.2, degC
275.5719, s, 99.2, degC
276.0760, s, 99.2, degC
276.5920, s, 99.2, degC
277.1080, s, 99.2, degC
277.6237, s, 99.2, degC
278.1395, s, 99.2, degC
278.6556, s, 99.2, degC
279.1715, s, 99.2, degC
279.6873, s, 99.1, degC
280.2032, s, 99.1, degC
280.7191, s, 99.1, degC
281.2348, s, 99.1, degC
281.7508, s, 99.1, degC
282.2666, s, 99.1, degC
282.7824, s, 99.1, degC
283.2986, s, 99.1, degC
283.8145, s, 99.1, degC
284.3302, s, 99.1, degC
284.8678, s, 99.1, degC
285.3619, s, 99.1, degC
285.8783, s, 99.1, degC
286.3937, s, 99.1, degC
286.9095, s, 99.1, degC
287.4254, s, 99.1, degC
287.9414, s, 99.1, degC
288.4667, s, 99.0, degC
288.9731, s, 99.0, degC
289.4888, s, 99.0, degC
290.0048, s, 99.0, degC
290.5208, s, 99.0, degC
