206.2932, s, 98.0, degC
206.8091, s, 98.0, degC
207.3249, s, 98.0, degC
207.8406, s, 98.0, degC
208.3567, s, 98.0, degC
208.8726, s, 98.0, degC
209.3884, s, 98.0, degC
209.9043, s, 97.9, degC
210.4201, s, 97.9, degC
210.9362, s, 97.9, degC
211.4519, s, 97.9, degC
211.9678, s, 97.8, degC
212.4835, s, 97.8, degC
213.0108, s, 97.8, degC
213.5154, s, 97.8, degC
214.0312, s, 97.7, degC
214.5471, s, 97.7, degC
215.0631, s, 97.7, degC
215.5790, s, 97.6, degC
216.0948, s, 97.6, degC
216.6106, s, 97.6, degC
217.1265, s, 97.6, degC
217.6426, s, 97.6, degC
218.1582, s, 97.6, degC
218.6741, s, 97.6, degC
219.1898, s, 97.6, degC
219.7060, s, 97.6, degC
220.2217, s, 97.5, degC
220.7372, s, 97.5, degC
221.2529, s, 97.5, degC
221.7689, s, 97.5, degC
222.3062, s, 97.4, degC
222.8010, s, 97.4, degC
223.3169, s, 97.4, degC
223.8330, s, 97.4, degC
224.3484, s, 97.3, degC
224.8645, s, 97.3, degC
225.3805, s, 97.3, degC
225.8963, s, 97.3, degC
226.4123, s, 97.3, degC
226.9282, s, 97.3, degC
227.4439, s, 97.2, degC
227.9597, s, 97.2, degC
228.4758, s, 97.2, degC
228.9916, s, 97.1, degC
229.5287, s, 97.1, degC
230.0233, s, 97.1, degC
230.5392, s, 97.1, degC
231.0552, s, 97.0, degC
231.5710, s, 97.0, degC
232.0868, s, 97.0, degC
232.6026, s, 97.0, degC
233.1271, s, 96.9, degC
233.6346, s, 96.9, degC
234.1502, s, 96.9, degC
234.6662, s, 96.8, degC
235.1823, s, 96.8, degC
235.6981, s, 96.8, degC
236.2139, s, 96.7, degC
236.7297, s, 96.7, degC
237.2455, s, 96.7, degC
237.7616, s, 96.6, degC
238.2774, s, 96.6, degC
238.7931, s, 96.5, degC
239.3087, s, 96.5, degC
239.8247, s, 96.5, degC
240.3405, s, 96.4, degC
240.8564, s, 96.4, degC
241.3720, s, 96.4, degC
241.8882, s, 96.4, degC
242.4227, s, 96.4, degC
242.9198, s, 96.3, degC
243.4357, s, 96.3, degC
243.9514, s, 96.3, degC
244.4675, s, 96.3, degC
244.9833, s, 96.3, degC
245.4992, s, 96.3, degC
246.0212, s, 96.2, degC
246.5310, s, 96.2, degC
247.0469, s, 96.3, degC
247.5627, s, 96.2, degC
248.0786, s, 96.2, degC
248.5946, s, 96.2, degC
249.1104, s, 96.2, degC
249.6262, s, 96.2, degC
250.1421, s, 96.1, degC
250.6577, s, 96.1, degC
251.1738, s, 96.1, degC
251.6900, s, 96.0, degC
252.2056, s, 96.0, degC
252.7216, s, 96.0, degC
253.2378, s, 95.9, degC
253.7536, s, 95.9, degC
254.2695, s, 95.9, degC
254.7848, s, 95.9, degC
255.3170, s, 95.9, degC
255.8165, s, 95.9, degC
256.3325, s, 95.8, degC
256.8485, s, 95.8, degC
257.3642, s, 95.8, degC
257.8803, s, 95.8, degC
258.3959, s, 95.8, degC
258.9155, s, 95.7, degC
259.4280, s, 95.7, degC
259.9438, s, 95.7, degC
